intercept,Length,Chestgirth,Weight
1,75,47,350
1,53,30.5,114
1,60.3,32,122
1,78,45,334
1,43.5,24,29
1,62,41,248
1,45,23,65
1,60,34.5,182
1,53.5,32,122
1,47.5,24,70
1,67.5,42,204
1,73,45,316
1,66.5,34,146
1,61,34,150
1,72,49,348
1,60,36.5,154
1,40,26,65
1,58,31,144
1,53,26,80
1,69,49.5,348
1,55.5,27.5,110
1,52.5,28,76
1,64,48,356
1,73.5,41,262
1,67.5,45,344
1,83,49,396
1,65,48,316
1,73,44,332
1,46,23,48
1,70,41,220
1,37,19,34
1,57,34.5,148
1,60,30,130
1,67,40,216
1,66.5,37,160
1,49,29,94
1,62,35,166
1,58,29,114
1,59,28.5,128
1,57.3,32.8,140
1,47,29.5,86
1,76.5,55,446
1,75,54,514
1,67,37,180
1,62,32.5,156
1,59,35,150
1,68.5,49,360
1,72,44.5,270
1,79.5,48.5,368
1,63,32,140
1,77,52,432
1,73.5,43,324
1,65,39,202
1,52,29,105
1,51,24,82
1,61,35,158
1,61.5,37,156
1,61,33,135
1,58,29.5,116
1,59,33,166
1,61,40,230
1,56,32,120
1,36,19,26
1,63,40,202
1,64,39,204
1,70.5,50,365
1,55.5,30.5,122
1,76,53,416
1,58.5,32,142
1,48,31,79
1,48.5,25.5,79
1,54.5,32,116
1,59,30,120
1,72,54,416
1,50.5,28,90
1,63,33,154
1,50,38,148
1,72,48,436
1,58.5,33.5,114
1,56,32.5,114
1,67.5,38,196
1,57.5,32,125
1,64,37,180
1,46,27,62
1,71,42.5,302
1,61.5,44,236
1,70,45.5,322
1,61,33,132
1,54,28,90
1,63.5,44,212
1,59,34,146
1,40,23,40
1,63,35,198
1,63,42,220
1,48,26,60
1,43,23,46
1,64,38,204
1,41,26,64
1,66.5,34,154
1,79,50,400
1,60.5,31,116
